protein_id	md5	length	has_internal_stop	in_uniparc	n_interpro	n_pfam	n_go	n_interpro_gos	interpro_gos
APU25_00005	CDF15EF1F81A36D798B6A0AE6A4AA967	672	no	yes	7	3	0	1	GO:0005525
APU25_00010	52ED97E6B16CA12BF8EE18F97B264188	257	no	no					
APU25_00015	74C75794B81EE17A7A384909C8D6ACA0	334	no	yes	3	1	0	1	GO:0055085
APU25_00020	FB44F906B6AC3121A72351DF000DFA78	729	no	yes	2	1	0		
APU25_00025	B2F92ABB2B4E9C5985B6DCC603C8E0D0	172	no	yes	1	1	0	1	GO:0000492
APU25_00030	91A87B4F3EE6B25374924E26DFD7ABBA	149	no	no					
APU25_00035	CBA7060C7B6AC04AD0B24CEEB2D10CD3	662	no	yes	13	4	0	2	GO:0003924,GO:0005525
APU25_00040	BAA16E5AC981AC8450CB464D973C0D04	647	no	no					
APU25_00045	FF80780B09B70CC3DCB64B24801756B1	380	no	yes	2	1	0	2	GO:0005515,GO:0005737
APU25_00050	4896E2ECA1D13FE983C054342D03EB70	180	no	no					
APU25_00055	3F485539A0F30F15FE50F891ED81363B	297	no	no					
APU25_00060	49FC884BAB642542B720A0375B0A1951	411	no	yes	2	1	0	3	GO:0005634,GO:0006260,GO:0043625
APU25_00065	264C7E500CC80C2A7610A91A768ED267	609	no	yes	2	1	0	2	GO:0005643,GO:0016973
APU25_00070	E79ABA1D930351B402F2B45FF558BED4	66	no	yes	1	0	0	2	GO:0005739,GO:0032981
APU25_00075	C450D46EB087D86923957D2404148DF0	1331	no	no					
APU25_00080	9FE332F8B3DF0B71D3AF85F656776428	243	no	yes	1	0	0		
APU25_00085	5D827EDFC5657599B074C8B4DB612423	206	no	yes	3	1	0	5	GO:0005509,GO:0009523,GO:0009654,GO:0015979,GO:0019898
APU25_00090	407F33476EF3D86CF63F64999F7C8C3A	124	no	yes	2	1	0	3	GO:0005783,GO:0016020,GO:0072546
APU25_00095	1510396578BB041527E878237054B369	867	no	no					
APU25_00100	FD9FE39364263E72E7F3C6F9746BA0F6	141	no	no					
APU25_00105	A209AC4E58285D91B4215EEBA9D1D171	524	no	yes	4	1	0	4	GO:0016116,GO:0016117,GO:0016491,GO:0046608
APU25_00110	5AF20AD33D4DF9F2ED5477E6EC2E3AF9	441	no	no					
APU25_00115	C50F3129932BB0E02A87870DC180F897	341	no	yes	3	1	0	1	GO:0016787
APU25_00120	2D28C4CD4AEB8DE27956EAAA362FE20D	515	no	yes	4	1	0	2	GO:0006890,GO:0030126
APU25_00125	8270075E7B85BC3EFC3018406C720816	388	no	yes	4	2	0	3	GO:0003735,GO:0005840,GO:0006412
APU25_00130	65370F0B42E8EFEB11011F037C81B44A	356	no	no					
APU25_00135	2D741C05DE8E407F2FE8ABC419C016EA	153	no	no					
APU25_00140	5B19E26EF1099B8F420726F4AD58023D	178	no	no					
APU25_00145	92C3ECE90637D95DD59D75FDAD9963A7	251	no	yes	6	2	0	2	GO:0005634,GO:0005737
APU25_00150	717FA19BD48283168819D44EDB2E220A	402	no	no					
APU25_00155	FC99F4591BECF46CE7C12548A8D6ADD2	532	no	yes	8	3	0	5	GO:0001510,GO:0003723,GO:0006355,GO:0008168,GO:0008173
APU25_00160	A8EA0F5E634CBE57B2D484352FF4286C	188	no	yes	6	2	0	1	GO:0003723
APU25_00165	78EEF72108E420F8B0F1FCC1625DDFCF	131	no	yes	3	1	0		
APU25_00170	3BF381CA43DB8A535A2C097BAE91202C	380	no	yes	1	0	0		
APU25_00175	B5D8006943536A74AE51D234603E8595	395	no	yes	1	1	0	2	GO:0006368,GO:0016593
APU25_00180	E4F55E2969D35CEA182CC5F20CC2D362	611	no	no					
