locus_tag	symbol	product	chromosome	accession	start	end	strand	exons	protein_len	source_locus	subgenome	identity	QC	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggNOG_OGs	eggnog_tax_ceiling	eggnog_farthest_donor_lineage	eggnog_COG_category	eggnog_Preferred_name	eggnog_GOs	eggnog_EC	eggnog_KEGG_ko	eggnog_KEGG_Pathway	eggnog_KEGG_Module	eggnog_KEGG_Reaction	eggnog_KEGG_rclass	eggnog_BRITE	eggnog_KEGG_TC	eggnog_CAZy	eggnog_BiGG_Reaction	eggnog_PFAMs	eggnog_annotation_confidence
APU25_00005	NGB1	hypothetical protein	1	CM128225.1	18695	23087	-	13	672	ACKKBF_B00030	B	1.0000	pass	3075.A0A087SP13	0.0	1131.0	NOGCT@2759|A-1,NOG1@131567|A-1,NOG1_N@131567|A-1	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;1028384;681950;5455;2707349;1573173	COG1084	LOC107807905	GO:0000054,GO:0000463,GO:0001649,GO:0003729,GO:0005634,GO:0006364,GO:0008150,GO:0008156,GO:0008285,GO:0010972,GO:0022408,GO:0030336,GO:0031397,GO:0042273,GO:0050821,GO:0071466,GO:1902626		K06943	03008				00001,03009				NOG1_214_271,NOG1_N_50_144,NOGCT_374_419	ll-hh---h---h
APU25_00010	CIF3	hypothetical protein	1	CM128225.1	23405	24843	+	6	257	ACKKBF_B00035	B	0.9883	pass	3075.A0A087SP14	7.68e-71	221.0	IF3_C@131567|A-1	Eukaryota	1;131567;2759;33090;3041;2692248;75966;35460;35461;191392;3075	COG0290													IF3_C_27_110	------------h
APU25_00015		hypothetical protein	1	CM128225.1	25251	26883	-	4	334	ACKKBG_A00040	tie	0.9970	pass	3075.A0A087SP15	3.24e-245	674.0	Mito_carr@2759|Alc-29,Mito_carr@131567|rS-24	Eukaryota	1;131567;2759;2763;2797;265318;265316;45156;45157;280699	S	mcfE	GO:0005381,GO:0005739,GO:0005743,GO:0006783,GO:0016226,GO:0020023,GO:0048250	ec:3.6.1.1	K01507,K08994,K15100,K15111,K15113,K15119	00190				00001,01000,02000,03029				Mito_carr_101_192,Mito_carr_240_328,Mito_carr_5_95	lllll---l---h
APU25_00020		hypothetical protein	1	CM128225.1	27303	30907	+	10	729	ACKKBG_A00045	tie	0.9973	pass	3075.A0A087SP16	0.0	996.0	FKBP_C@131567|Oe-14,FKBP_C@2759|cd-18!,RAP@131567|C-2!	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;232378;4429;4430;4432	S	RAP	GO:0003723,GO:0005634,GO:0009507,GO:0042646,GO:1901259	ec:5.2.1.8	K09568	00561,00564,01100,01110,04070				00001,01000,03110				FKBP_C_536_625,RAP_490_522	llhhl---h---h
APU25_00025		hypothetical protein	1	CM128225.1	31186	32090	-	4	172	ACKKBG_A00050	tie	0.9826	pass	554065.E1ZSK8	2.49e-20	92.4	NOPCHAP1@2759|A-1	Eukaryota	1;131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6447;6544;2785011;6545;106218;106219;6566;186466;6573	S	RvY_13858-1	GO:0000492,GO:0005515,GO:0005575,GO:0005634,GO:0062064		K26142					00001,03009				NOPCHAP1_49_148	ml-h----h---h
APU25_00030	FKB12	hypothetical protein	1	CM128225.1	32376	33268	+	4	149	ACKKBG_A00055	A	0.9933	pass	3075.A0A087SP16	1.19e-65	218.0	FKBP_C@131567|Oe-14,FKBP_C@2759|cd-18!,RAP@131567|C-2!	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;232378;4429;4430;4432	S	RAP	GO:0003723,GO:0005634,GO:0009507,GO:0042646,GO:1901259	ec:5.2.1.8	K09568	00561,00564,01100,01110,04070				00001,01000,03110				FKBP_C_536_625,RAP_490_522	llhhl---h---h
APU25_00035	EFG7	hypothetical protein	1	CM128225.1	33528	37109	+	10	662	ACKKBG_A00060	tie	0.9970	pass	3075.A0A087SP17	0.0	1075.0	GTP_EFTU@131567|EU-14,EFG_C@131567|D-3	Eukaryota	1;131567;2759;2698737;33630;5794;422676;5863;32594;5864;5866	COG1217	efg7	GO:0003746,GO:0005525,GO:0005737,GO:0005739,GO:0006414,GO:0009507		K06207					00001				EFG_C_366_447,GTP_EFTU_1_161	ll-h----h---h
APU25_00040		hypothetical protein	1	CM128225.1	37356	40911	-	11	647	ACKKBG_A00065	tie	0.9938	pass	3075.A0A087SP18	0.0	1190.0	efThoc1@2759|A-1	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4536	S	THO1	GO:0000347,GO:0003674,GO:0005634,GO:0006406,GO:0009873,GO:0010267,GO:0031047,GO:0050832		K12878	03013,03040				00001,03019,03041				efThoc1_274_500,efThoc1_97_247	ll-hh---h---h
APU25_00045	BAR1A	hypothetical protein	1	CM128225.1	41430	43631	+	8	380	ACKKBG_A00070	tie	1.0000	pass	3075.A0A087SP19	1.03e-238	660.0	BAR@131567|w-6	Eukaryota	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;1489388;123365;123366;123367;123368;123369;1489872;1489908;1489913;28738;8087;8079;586240;8082;32473		ARHGAP44	GO:0000145,GO:0001891,GO:0005096,GO:0005515,GO:0005543,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0005912,GO:0005923,GO:0006911,GO:0007015,GO:0007274,GO:0007480,GO:0008104,GO:0014069,GO:0016477,GO:0017124,GO:0017156,GO:0030027,GO:0030215,GO:0030425,GO:0030834,GO:0030837,GO:0031252,GO:0031256,GO:0031267,GO:0031594,GO:0032956,GO:0034329,GO:0035021,GO:0043087,GO:0043197,GO:0043535,GO:0043547,GO:0045198,GO:0045887,GO:0046847,GO:0048786,GO:0050804,GO:0051056,GO:0051058,GO:0051490,GO:0055037,GO:0061001,GO:0071526,GO:0097178,GO:0098793,GO:0098794,GO:0098978,GO:0099010,GO:0099152,GO:1990255,GO:1990450		K17920,K20120,K20638,K20652,K20705,K21067	04144,04530				00001,04131,04990				BAR_85_222	ll-ll---l---h
APU25_00050		hypothetical protein	1	CM128225.1	43918	44836	-	5	180	ACKKBG_A00075	A	0.9889	pass	554055.A0A2P6V570	2.6e-17	87.8	IF3_N@131567|A-1,IF3_C@131567|A-1	Eukaryota	1;131567;2759;33090;3041;2692248;75966;35460;35461;2511126;126838;554055	COG0290													IF3_C_276_362,IF3_N_198_267	------------h
