locus_tag	source	interpro_accessions	pfam_accessions	ncbifam	prosite	smart	cdd	superfamily	n_domains	interpro_accessions_other_libs
APU25_00005	matches_api	IPR010674,IPR012973,IPR027417,IPR031167,IPR041623	PF06858,PF08155,PF17835		PS51710		cd01897	SSF52540	6	IPR006073,IPR024926
APU25_00010	ips6_local	IPR001288,IPR019814,IPR019815,IPR036787,IPR036788	PF00707,PF05198	TIGR00168				SSF54364,SSF55200	5	
APU25_00015	matches_api	IPR018108,IPR023395	PF00153		PS50920			SSF103506	3	IPR002067
APU25_00020	matches_api	IPR013584	PF08373		PS51286	SM00952			3	IPR050870
APU25_00025	matches_api	IPR027921	PF15370						1	
APU25_00030	ips6_local	IPR001179	PF00254		PS50059			SSF54534	3	
APU25_00035	matches_api	IPR000640,IPR000795,IPR005225,IPR006298,IPR009000,IPR027417,IPR031157,IPR035647,IPR035651,IPR047041,IPR048876,IPR053905	PF00009,PF00679,PF21018,PF22042	TIGR00231,TIGR01394	PS00301,PS51722		cd01891,cd03710	SSF50447,SSF52540,SSF54980	13	IPR042116
APU25_00040	ips6_local	IPR021861	PF11957						1	
APU25_00045	matches_api	IPR004148,IPR027267	PF03114					SSF103657	2	
APU25_00050	ips6_local	IPR048371	PF21373						1	
APU25_00055	ips6_local	IPR000073,IPR029058	PF00561					SSF53474	2	
APU25_00060	matches_api	IPR019038	PF09507						1	IPR041913
APU25_00065	matches_api	IPR012476	PF07817						1	IPR038506
APU25_00070	matches_api				PS51257				1	IPR034595
APU25_00075	ips6_local								0	
APU25_00080	matches_api	IPR029069					cd03443	SSF54637	2	
APU25_00085	matches_api	IPR008797,IPR023222	PF05757					SSF101112	2	IPR054099
APU25_00090	matches_api	IPR029008	PF07019						1	IPR008504
APU25_00095	ips6_local							SSF57997	1	
APU25_00100	ips6_local								0	
APU25_00105	matches_api	IPR002937,IPR014101,IPR036188	PF01593	TIGR02730				SSF51905	3	IPR045892
APU25_00110	ips6_local								0	
APU25_00115	matches_api	IPR004843,IPR029052	PF00149				cd00144	SSF56300	3	IPR050126
APU25_00120	matches_api	IPR011012,IPR028565,IPR036168	PF00928		PS51072		cd09254,cd14830	SSF49447,SSF64356	6	IPR027059
APU25_00125	matches_api	IPR002136,IPR023574,IPR025755	PF00573,PF14374					SSF52166	3	IPR045240
APU25_00130	ips6_local	IPR014044,IPR018244,IPR035940	PF00188		PS01009	SM00198		SSF55797	4	
APU25_00135	ips6_local	IPR014044,IPR018244,IPR034113,IPR035940	PF00188		PS01009	SM00198	cd05382	SSF55797	5	
APU25_00140	ips6_local	IPR014044,IPR018244,IPR035940	PF00188		PS01009,PS01010	SM00198		SSF55797	5	
APU25_00145	matches_api	IPR032368,IPR044867,IPR044868	PF04683,PF16550		PS51916				3	IPR006773,IPR038108,IPR038633
APU25_00150	ips6_local	IPR000878,IPR003043,IPR006366,IPR035996	PF00590	NF004790,TIGR01469	PS00839,PS00840		cd11642	SSF53790	7	
APU25_00155	matches_api	IPR001678,IPR006027,IPR018314,IPR029063,IPR035926,IPR049560,IPR054728	PF01029,PF01189,PF22458		PS01153,PS51686		cd02440	SSF48013,SSF53335	8	IPR023267
APU25_00160	matches_api	IPR002478,IPR004521,IPR015947,IPR041366,IPR048248	PF17832,PF26292	TIGR00451	PS50890	SM00359	cd11609,cd21155	SSF88697	8	IPR016437
APU25_00165	matches_api	IPR019716	PF10780						1	IPR036249,IPR052473
APU25_00170	matches_api								0	IPR052776
APU25_00175	matches_api	IPR007133	PF03985						1	
APU25_00180	ips6_local								0	
APU25_00185	matches_api	IPR001222,IPR001529,IPR019761,IPR034014	PF01096,PF02150		PS00466,PS01030,PS51133	SM00440,SM00661	cd10509	SSF57783	9	IPR012164
APU25_00190	ips6_local								0	
APU25_00195	ips6_local								0	
APU25_00200	ips6_local	IPR000719,IPR008271,IPR011009	PF00069		PS00108,PS50011	SM00220	cd14003	SSF56112	6	
APU25_00205	ips6_local								0	
APU25_00210	matches_api	IPR003819	PF02668					SSF51197	2	IPR042098,IPR050411
APU25_00215	matches_api	IPR048319,IPR048361	PF04129,PF20655						2	IPR007258
APU25_00220	matches_api	IPR021151,IPR031633,IPR036224,IPR038749	PF05916,PF16922				cd11711,cd21692	SSF158573,SSF160059	6	IPR008591
APU25_00225	matches_api	IPR003099,IPR008927,IPR036291,IPR046826,IPR059064	PF02153,PF26213		PS51176			SSF48179,SSF51735	5	IPR045011
APU25_00230	matches_api	IPR005570,IPR012340	PF03870			SM00658		SSF50249	3	
APU25_00235	ips6_local	IPR024989,IPR036259	PF12832					SSF103473	2	
APU25_00240	matches_api	IPR030826,IPR031414	PF17070	TIGR04560	PS51257				3	
APU25_00245	matches_api								0	
APU25_00250	matches_api	IPR019136,IPR041499	PF09734,PF17682						2	IPR040454,IPR042536
APU25_00255	ips6_local	IPR004147,IPR011009	PF03109				cd05121	SSF56112	3	
APU25_00260	matches_api	IPR002347,IPR036291	PF00106				cd05233	SSF51735	3	IPR052625
APU25_00265	ips6_local	IPR001487,IPR027353,IPR036427	PF00439,PF17035		PS50014,PS51525	SM00297	cd04369	SSF47370	7	
APU25_00270	ips6_local								0	
APU25_00275	ips6_local								0	
APU25_00280	matches_api	IPR013830	PF13472				cd01838	SSF52266	3	IPR036514,IPR045136
APU25_00285	ips6_local	IPR035623,IPR041591	PF17780				cd16166		2	
APU25_00290	matches_api	IPR027417						SSF52540	1	
APU25_00295	matches_api	IPR000361,IPR016092,IPR017870,IPR035903	PF01521	TIGR00049	PS01152			SSF89360	4	IPR031108
APU25_00300	matches_api	IPR000629,IPR001650,IPR011545,IPR014001,IPR014014,IPR027417	PF00270,PF00271		PS00039,PS51192,PS51194,PS51195	SM00487,SM00490	cd17940,cd18787	SSF52540	11	
APU25_00305	ips6_local	IPR002033,IPR019820	PF00902	TIGR00945	PS01218				3	
APU25_00310	ips6_local	IPR024491	PF10961						1	
APU25_00315	ips6_local								0	
APU25_00320	matches_api	IPR005097,IPR036291	PF03435					SSF51735	2	IPR051276
APU25_00325	ips6_local	IPR006083,IPR023577,IPR027417,IPR033469	PF00485,PF01928		PS51707		cd02028	SSF52540,SSF55154	6	
APU25_00330	matches_api	IPR009080,IPR014758,IPR015413,IPR033911,IPR041872	PF09334,PF19303	TIGR00398			cd00814	SSF47323,SSF52374	6	IPR014729,IPR023457
APU25_00335	ips6_local	IPR000008,IPR009543,IPR035892	PF00168,PF25036		PS50004,PS50096		cd00030	SSF49562	6	
APU25_00340	matches_api	IPR000095,IPR011039,IPR036390,IPR040450,IPR040504	PF02270,PF17683		PS50108			SSF46785,SSF50916	5	IPR003196,IPR036388
APU25_00345	ips6_local	IPR000644,IPR001807,IPR014743,IPR046342	PF00571,PF00654		PS51371	SM00116		SSF54631,SSF81340	6	
APU25_00350	matches_api	IPR000683,IPR036291,IPR055170	PF01408,PF22725					SSF51735,SSF55347	4	
APU25_00355	ips6_local	IPR004821	PF01467					SSF52374	2	
APU25_00360	matches_api	IPR000182,IPR016181,IPR019467	PF00583,PF10394		PS51186		cd04301	SSF55729	5	IPR017380,IPR037113
APU25_00365	ips6_local	IPR013087,IPR019447,IPR036236,IPR041330,IPR041995,IPR056767	PF10357,PF18131,PF25092,PF25095		PS00028	SM01253		SSF57667	7	
APU25_00370	ips6_local								0	
APU25_00375	ips6_local								0	
APU25_00380	ips6_local	IPR005720	PF01180	NF006183			cd02940	SSF51395	4	
APU25_00385	ips6_local								0	
APU25_00390	matches_api	IPR002659	PF01762						1	
APU25_00395	ips6_local	IPR004887,IPR005615,IPR016185	PF03199,PF03917	TIGR01986				SSF52440,SSF56059	5	
APU25_00400	ips6_local	IPR001623,IPR011990,IPR019734,IPR036869	PF00226		PS50076	SM00028,SM00271		SSF46565,SSF48452	6	
APU25_00405	ips6_local								0	
APU25_00410	ips6_local	IPR004045,IPR010987,IPR036249,IPR036282	PF13409,PF13410		PS50404,PS50405		cd00570	SSF47616,SSF52833	7	
APU25_00415	ips6_local	IPR000409,IPR011047,IPR023362,IPR036372,IPR057496	PF02138,PF25400		PS50197,PS51783	SM01026	cd06071	SSF50998,SSF81837	8	
APU25_00420	ips6_local	IPR000727			PS50192	SM00397	cd15841	SSF58038	4	
APU25_00425	ips6_local	IPR004333,IPR036893	PF03110		PS51141			SSF103612	3	
APU25_00430	matches_api	IPR000626,IPR029071	PF00240		PS50053		cd17039	SSF54236	4	
APU25_00435	ips6_local	IPR001623,IPR036869	PF00226		PS50076	SM00271	cd06257	SSF46565	5	
APU25_00440	ips6_local	IPR001680,IPR016024,IPR029347	PF00400,PF14538			SM00320,SM01302		SSF101908,SSF48371	6	
APU25_00445	ips6_local	IPR016024						SSF48371	1	
APU25_00450	ips6_local								0	
