locus_tag	symbol	product	chromosome	accession	start	end	strand	exons	protein_len	source_locus	subgenome	identity	QC	symbol_source	product_source	dup_pair_id	interpro_family_candidates	interpro_family_unresolved	interpro_domain_all	interpro_structural_only	symbol_rejected	symbol_rejected_reason	eggnog_data_row
APU25_00005	NGB1	Nucleolar GTP-binding protein 1	1	CM128225.1	18695	23087	-	13	672	ACKKBF_B00030	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00010	CIF3	Translation initiation factor 3	1	CM128225.1	23405	24843	+	6	257	ACKKBF_B00035	B	0.9883	pass	utex250a	interpro_family								TRUE
APU25_00015	mcfE	Mitochondrial carrier protein	1	CM128225.1	25251	26883	-	4	334	ACKKBG_A00040	tie	0.9970	pass	eggnog	interpro_family								TRUE
APU25_00020	RAP	FAST kinase domain-containing	1	CM128225.1	27303	30907	+	10	729	ACKKBG_A00045	tie	0.9973	pass	eggnog	interpro_family								TRUE
APU25_00025	RvY_13858-1	NOP protein chaperone 1	1	CM128225.1	31186	32090	-	4	172	ACKKBG_A00050	tie	0.9826	pass	eggnog	interpro_family								TRUE
APU25_00030	FKB12	FKBP-type peptidyl-prolyl cis-trans isomerase domain-containing protein	1	CM128225.1	32376	33268	+	4	149	ACKKBG_A00055	A	0.9933	pass	utex250a	interpro_domain				IPR001179 FKBP-type peptidyl-prolyl cis-trans isomerase domain				TRUE
APU25_00035	EFG7	GTP-binding protein BipA	1	CM128225.1	33528	37109	+	10	662	ACKKBG_A00060	tie	0.9970	pass	utex250a	interpro_family								TRUE
APU25_00040	THO1	THO complex, subunit THOC1	1	CM128225.1	37356	40911	-	11	647	ACKKBG_A00065	tie	0.9938	pass	eggnog	interpro_family								TRUE
APU25_00045	BAR1A	BAR domain-containing protein	1	CM128225.1	41430	43631	+	8	380	ACKKBG_A00070	tie	1.0000	pass	utex250a	interpro_domain				IPR004148 BAR domain				TRUE
APU25_00050		Zinc finger HIT domain-containing protein 3, C-terminal domain-containing protein	1	CM128225.1	43918	44836	-	5	180	ACKKBG_A00075	A	0.9889	pass	none	interpro_domain				IPR048371 Zinc finger HIT domain-containing protein 3, C-terminal domain				TRUE
APU25_00055		Alpha/beta hydrolase fold-1 domain-containing protein	1	CM128225.1	45994	47721	+	7	297	ACKKBG_A00080	tie	0.9832	pass	none	interpro_domain				IPR000073 Alpha/beta hydrolase fold-1				TRUE
APU25_00060	POLD3	DNA polymerase delta subunit 3	1	CM128225.1	48154	50110	-	7	411	ACKKBG_A00085	A	1.0000	pass	eggnog	interpro_family								TRUE
APU25_00065	GLE1	mRNA export factor GLE1-like	1	CM128225.1	50620	53245	+	6	609	ACKKBG_A00090	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00070	PSBQ	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	1	CM128225.1	53453	53969	+	3	66	ACKKBG_A00095	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_00075		hypothetical protein	1	CM128225.1	54007	59705	+	9	1331	ACKKBG_A00100	A	0.9970	pass	none	none								TRUE
APU25_00080		hypothetical protein	1	CM128225.1	59974	61435	-	6	243	ACKKBG_A00105	tie	1.0000	pass	none	none					TRUE			TRUE
APU25_00085	PSBQ1	Oxygen-evolving enhancer protein 3, plants	1	CM128225.1	62101	63609	+	6	206	ACKKBG_A00110	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00090	RIP5	ER membrane protein complex subunit 6	1	CM128225.1	63750	64359	-	3	124	ACKKBG_A00115	tie	0.9839	pass	utex250a	interpro_family								TRUE
APU25_00095	FAP189	hypothetical protein	1	CM128225.1	64638	70187	-	24	867	ACKKBF_B00120	B	0.9885	pass	utex250a	none								FALSE
APU25_00100		hypothetical protein	1	CM128225.1	70704	71305	+	2	141	ACKKBG_A00130	tie	0.9929	pass	none	none								FALSE
APU25_00105	CRTISO1	Prolycopene isomerase	1	CM128225.1	71522	74556	-	11	524	ACKKBG_A00135	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00110	MRE11	hypothetical protein	1	CM128225.1	75915	77907	+	5	441	ACKKBG_A00140	tie	0.9751	pass	eggnog	none	DUP0001							TRUE
APU25_00115	MRE11	Diadenosine polyphosphate hydrolase	1	CM128225.1	78488	80125	+	4	341	ACKKBG_A00145	tie	1.0000	pass	eggnog	interpro_family	DUP0001							TRUE
APU25_00120	COPD1	Coatomer delta subunit	1	CM128225.1	80650	83068	+	6	515	ACKKBG_A00150	A	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00125	RPL4	Large ribosomal subunit protein uL4, eukaryota/archaea	1	CM128225.1	83610	85193	+	3	388	ACKKBG_A00155	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_00130	SC7	CAP domain-containing protein	1	CM128225.1	86123	87895	+	5	356	ACKKBF_B00160	B	0.9972	pass	eggnog	interpro_domain				IPR014044 CAP domain				TRUE
APU25_00135	SC7	CAP and Golgi-associated plant pathogenesis-related protein 1, SCP domain-containing protein	1	CM128225.1	88786	89724	+	4	153	ACKKBF_B00170	B	0.9869	pass	eggnog	interpro_domain_multi				IPR014044 CAP domain; IPR034113 Golgi-associated plant pathogenesis-related protein 1, SCP domain				TRUE
APU25_00140	SC7	CAP domain-containing protein	1	CM128225.1	91054	92157	+	5	178	ACKKBG_A00175	tie	0.9888	pass	eggnog	interpro_domain				IPR014044 CAP domain				TRUE
APU25_00145	CGL124	Proteasomal ubiquitin receptor Rpn13/ADRM1	1	CM128225.1	93243	94447	+	4	251	ACKKBF_B00180	B	0.9960	pass	utex250a	interpro_family								FALSE
APU25_00150	UPM1	Uroporphyrin-III C-methyltransferase and Tetrapyrrole methylase domain-containing protein	1	CM128225.1	94746	96342	-	3	402	ACKKBF_B00185	B	0.9975	pass	utex250a	interpro_domain_multi				IPR006366 Uroporphyrin-III C-methyltransferase; IPR000878 Tetrapyrrole methylase				TRUE
APU25_00155		RNA (C5-cytosine) methyltransferase	1	CM128225.1	96640	98964	+	5	532	ACKKBF_B00190	B	0.9944	pass	none	interpro_family						LOC106765232	loc_placeholder	TRUE
APU25_00160	MCTS1	MCT-1/Tma20	1	CM128225.1	99396	100478	-	4	188	ACKKBG_A00200	tie	1.0000	pass	eggnog	interpro_family								TRUE
